model,canonical,app_selectable,responses_api,batch_api,app_live,app_batch,strict_json_schema,reasoning_effort,reasoning_mode,reasoning_summary,temperature_top_p,file_id_input,image_input,pdf_input,file_search_vector_stores,image_detail,context_window,max_input_tokens,max_output_tokens,service_tier_live,service_tier_batch,prompt_cache_retention,prompt_cache_options,all_documented_features,all_documented_endpoints,notes,source,source_sha256
gpt-3.5-turbo-1106,gpt-3.5-turbo,False,True,True,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16385,,4096,"auto,default","auto,default",,False,fine_tuning,"v1/chat/completions,v1/responses,v1/batch,v1/fine-tuning",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-3.5-turbo,fcf962b2f7886bbe4f2ff668df92ed8a3aba858d00f9d72a222a9c61d53a0ad6
gpt-3.5-turbo-instruct,gpt-3.5-turbo,False,True,True,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16385,,4096,"auto,default","auto,default",,False,fine_tuning,"v1/chat/completions,v1/responses,v1/batch,v1/fine-tuning",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-3.5-turbo,fcf962b2f7886bbe4f2ff668df92ed8a3aba858d00f9d72a222a9c61d53a0ad6
gpt-4,gpt-4,False,True,True,False,False,False,,,,omit,False,False,False,False,"auto,low,high",8192,,8192,"auto,default","auto,default",,False,"fine_tuning,streaming","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4,0e29ac3ec226f710b855fc58708cabc7084b0a7db14efaa129fb1540b60ba31a
gpt-4-0125-preview,gpt-4-turbo-preview,False,True,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,4096,"auto,default","auto,default",,False,fine_tuning,"v1/chat/completions,v1/responses,v1/assistants",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4-turbo-preview,eacc2656f9d5cf4cfdaec15772257cdb0bfee6fd123c65b3dd0f078128000d1b
gpt-4-0314,gpt-4,False,True,True,False,False,False,,,,omit,False,False,False,False,"auto,low,high",8192,,8192,"auto,default","auto,default",,False,"fine_tuning,streaming","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4,0e29ac3ec226f710b855fc58708cabc7084b0a7db14efaa129fb1540b60ba31a
gpt-4-0613,gpt-4,False,True,True,False,False,False,,,,omit,False,False,False,False,"auto,low,high",8192,,8192,"auto,default","auto,default",,False,"fine_tuning,streaming","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4,0e29ac3ec226f710b855fc58708cabc7084b0a7db14efaa129fb1540b60ba31a
gpt-4-1106-vision-preview,gpt-4-turbo-preview,False,True,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,4096,"auto,default","auto,default",,False,fine_tuning,"v1/chat/completions,v1/responses,v1/assistants",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4-turbo-preview,eacc2656f9d5cf4cfdaec15772257cdb0bfee6fd123c65b3dd0f078128000d1b
gpt-4-turbo,gpt-4-turbo,False,True,True,False,False,False,,,,omit,False,True,False,False,"auto,low,high",128000,,4096,"auto,default","auto,default",,False,"function_calling,image_input,streaming","v1/chat/completions,v1/responses,v1/assistants,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4-turbo,d1e2b2664b0f2df6d0ba0e70308f106d6de8fa4ff306ea9622a5758cd09537cc
gpt-4-turbo-2024-04-09,gpt-4-turbo,False,True,True,False,False,False,,,,omit,False,True,False,False,"auto,low,high",128000,,4096,"auto,default","auto,default",,False,"function_calling,image_input,streaming","v1/chat/completions,v1/responses,v1/assistants,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4-turbo,d1e2b2664b0f2df6d0ba0e70308f106d6de8fa4ff306ea9622a5758cd09537cc
gpt-4-turbo-preview,gpt-4-turbo-preview,False,True,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,4096,"auto,default","auto,default",,False,fine_tuning,"v1/chat/completions,v1/responses,v1/assistants",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4-turbo-preview,eacc2656f9d5cf4cfdaec15772257cdb0bfee6fd123c65b3dd0f078128000d1b
gpt-4.1,gpt-4.1,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",1047576,,32768,"auto,default,priority","auto,default","in_memory,24h",False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,prompt_caching,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4.1,18864a7848c3ab3b41b5ef046d9117191f425027d91a32531bd0edaf32bc0992
gpt-4.1-2025-04-14,gpt-4.1,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",1047576,,32768,"auto,default,priority","auto,default","in_memory,24h",False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,prompt_caching,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4.1,18864a7848c3ab3b41b5ef046d9117191f425027d91a32531bd0edaf32bc0992
gpt-4.1-mini,gpt-4.1-mini,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",1047576,,32768,"auto,default,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_input,mcp,predicted_outputs,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4.1-mini,c3cea0b9705bc0579862dae68fbdf4a4d58c7be9fb3466b8fb9d6161b4db87f2
gpt-4.1-mini-2025-04-14,gpt-4.1-mini,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",1047576,,32768,"auto,default,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_input,mcp,predicted_outputs,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4.1-mini,c3cea0b9705bc0579862dae68fbdf4a4d58c7be9fb3466b8fb9d6161b4db87f2
gpt-4.1-nano,gpt-4.1-nano,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",1047576,,32768,"auto,default,priority","auto,default",in_memory,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,prompt_caching,streaming,structured_outputs","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4.1-nano,4f0087aa54b4931d73dc39d24a25b152d0c37395f0b35a042e1604cb77e0c05c
gpt-4.1-nano-2025-04-14,gpt-4.1-nano,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",1047576,,32768,"auto,default,priority","auto,default",in_memory,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,prompt_caching,streaming,structured_outputs","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4.1-nano,4f0087aa54b4931d73dc39d24a25b152d0c37395f0b35a042e1604cb77e0c05c
gpt-4.5-preview,gpt-4.5-preview,False,True,True,False,False,True,,,,always,True,True,True,False,"auto,low,high",128000,,16384,"auto,default","auto,default",in_memory,False,"evals,function_calling,image_input,prompt_caching,streaming,structured_outputs,system_messages,file_uploads","v1/chat/completions,v1/responses,v1/assistants,v1/batch",,https://developers.openai.com/api/docs/models/gpt-4.5-preview,e2f1e955146fb4e20d6993b2212d65641b41d5794f41ba3ae5589ea7dc17cbef
gpt-4.5-preview-2025-02-27,gpt-4.5-preview,False,True,True,False,False,True,,,,always,True,True,True,False,"auto,low,high",128000,,16384,"auto,default","auto,default",in_memory,False,"evals,function_calling,image_input,prompt_caching,streaming,structured_outputs,system_messages,file_uploads","v1/chat/completions,v1/responses,v1/assistants,v1/batch",,https://developers.openai.com/api/docs/models/gpt-4.5-preview,e2f1e955146fb4e20d6993b2212d65641b41d5794f41ba3ae5589ea7dc17cbef
gpt-4o,gpt-4o,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",128000,,16384,"auto,default,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4o,a0bd691d562c3af1dcf8c8e795ea400c05f53a8ca1feccaa632f803a8dbcdd6d
gpt-4o-2024-05-13,gpt-4o,False,True,True,False,False,False,,,,always,True,True,True,True,"auto,low,high",128000,,16384,"auto,default,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,streaming,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4o,a0bd691d562c3af1dcf8c8e795ea400c05f53a8ca1feccaa632f803a8dbcdd6d
gpt-4o-2024-08-06,gpt-4o,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",128000,,16384,"auto,default,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4o,a0bd691d562c3af1dcf8c8e795ea400c05f53a8ca1feccaa632f803a8dbcdd6d
gpt-4o-2024-11-20,gpt-4o,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",128000,,16384,"auto,default,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4o,a0bd691d562c3af1dcf8c8e795ea400c05f53a8ca1feccaa632f803a8dbcdd6d
gpt-4o-audio-preview,gpt-4o-audio-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"function_calling,streaming",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-audio-preview,46fdc8364150def9042204ea87fe48645fe6d323be302870628b996c744319f8
gpt-4o-audio-preview-2024-10-01,gpt-4o-audio-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"function_calling,streaming",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-audio-preview,46fdc8364150def9042204ea87fe48645fe6d323be302870628b996c744319f8
gpt-4o-audio-preview-2024-12-17,gpt-4o-audio-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"function_calling,streaming",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-audio-preview,46fdc8364150def9042204ea87fe48645fe6d323be302870628b996c744319f8
gpt-4o-audio-preview-2025-06-03,gpt-4o-audio-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"function_calling,streaming",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-audio-preview,46fdc8364150def9042204ea87fe48645fe6d323be302870628b996c744319f8
gpt-4o-mini,gpt-4o-mini,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",128000,,16384,"auto,default,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4o-mini,6685868cf5e31ed39492380b2e3b8b7b430437971ed0c3d742319d54f8284d78
gpt-4o-mini-2024-07-18,gpt-4o-mini,True,True,True,True,True,True,,,,always,True,True,True,True,"auto,low,high",128000,,16384,"auto,default,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,fine_tuning,function_calling,image_generation,image_input,mcp,predicted_outputs,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/assistants,v1/batch,v1/fine-tuning",,https://developers.openai.com/api/docs/models/gpt-4o-mini,6685868cf5e31ed39492380b2e3b8b7b430437971ed0c3d742319d54f8284d78
gpt-4o-mini-audio-preview,gpt-4o-mini-audio-preview,False,False,False,False,False,False,,,,omit,False,False,False,True,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"code_interpreter,file_search,function_calling,mcp,streaming,web_search",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-audio-preview,f85dafd0eef949af537e57505eef83bbb91731a91225c9fe95c6e5c49d15ad8d
gpt-4o-mini-audio-preview-2024-12-17,gpt-4o-mini-audio-preview,False,False,False,False,False,False,,,,omit,False,False,False,True,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"code_interpreter,file_search,function_calling,mcp,streaming,web_search",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-audio-preview,f85dafd0eef949af537e57505eef83bbb91731a91225c9fe95c6e5c49d15ad8d
gpt-4o-mini-realtime-preview,gpt-4o-mini-realtime-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16000,,4096,"auto,default","auto,default",in_memory,False,"function_calling,prompt_caching",v1/realtime,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-realtime-preview,6624503b8e6ed56fefcfd888c195c8bb454ac12347fb794655ba9f91232f1e7f
gpt-4o-mini-realtime-preview-2024-12-17,gpt-4o-mini-realtime-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16000,,4096,"auto,default","auto,default",in_memory,False,"function_calling,prompt_caching",v1/realtime,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-realtime-preview,6624503b8e6ed56fefcfd888c195c8bb454ac12347fb794655ba9f91232f1e7f
gpt-4o-mini-search-preview,gpt-4o-mini-search-preview,False,False,False,False,False,True,,,,omit,False,True,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"image_input,streaming,structured_outputs",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-search-preview,884651ecd72209eefb0e53dc8b3aa1b172ab0707f9f6eabd37d39278a4aa52b7
gpt-4o-mini-search-preview-2025-03-11,gpt-4o-mini-search-preview,False,False,False,False,False,True,,,,omit,False,True,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"image_input,streaming,structured_outputs",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-search-preview,884651ecd72209eefb0e53dc8b3aa1b172ab0707f9f6eabd37d39278a4aa52b7
gpt-4o-mini-transcribe,gpt-4o-mini-transcribe,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16000,,2000,"auto,default","auto,default",,False,,"v1/realtime,v1/audio/transcriptions",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-transcribe,6e5742660a9412a614b0380a9547f061f455a7afc6e1ec7aadcffec490ccbc3e
gpt-4o-mini-transcribe-2025-03-20,gpt-4o-mini-transcribe,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16000,,2000,"auto,default","auto,default",,False,,"v1/realtime,v1/audio/transcriptions",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-transcribe,6e5742660a9412a614b0380a9547f061f455a7afc6e1ec7aadcffec490ccbc3e
gpt-4o-mini-transcribe-2025-12-15,gpt-4o-mini-transcribe,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16000,,2000,"auto,default","auto,default",,False,,"v1/realtime,v1/audio/transcriptions",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-transcribe,6e5742660a9412a614b0380a9547f061f455a7afc6e1ec7aadcffec490ccbc3e
gpt-4o-mini-tts,gpt-4o-mini-tts,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",,,,"auto,default","auto,default",,False,,v1/audio/speech,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-tts,432781bc29b05270e31f93c17da2968555729cdacd00ebad66055e113f4e1c60
gpt-4o-mini-tts-2025-03-20,gpt-4o-mini-tts,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",,,,"auto,default","auto,default",,False,,v1/audio/speech,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-tts,432781bc29b05270e31f93c17da2968555729cdacd00ebad66055e113f4e1c60
gpt-4o-mini-tts-2025-12-15,gpt-4o-mini-tts,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",,,,"auto,default","auto,default",,False,,v1/audio/speech,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-mini-tts,432781bc29b05270e31f93c17da2968555729cdacd00ebad66055e113f4e1c60
gpt-4o-realtime-preview,gpt-4o-realtime-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",32000,,4096,"auto,default","auto,default",in_memory,False,"function_calling,prompt_caching",v1/realtime,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-realtime-preview,a494bb051dc7ac4aac55ed77d5b483eb2edfdacbafa87f5db48c77cbe02b94e6
gpt-4o-realtime-preview-2024-10-01,gpt-4o-realtime-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",32000,,4096,"auto,default","auto,default",in_memory,False,"function_calling,prompt_caching",v1/realtime,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-realtime-preview,a494bb051dc7ac4aac55ed77d5b483eb2edfdacbafa87f5db48c77cbe02b94e6
gpt-4o-realtime-preview-2024-12-17,gpt-4o-realtime-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",32000,,4096,"auto,default","auto,default",in_memory,False,"function_calling,prompt_caching",v1/realtime,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-realtime-preview,a494bb051dc7ac4aac55ed77d5b483eb2edfdacbafa87f5db48c77cbe02b94e6
gpt-4o-realtime-preview-2025-06-03,gpt-4o-realtime-preview,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",32000,,4096,"auto,default","auto,default",in_memory,False,"function_calling,prompt_caching",v1/realtime,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-realtime-preview,a494bb051dc7ac4aac55ed77d5b483eb2edfdacbafa87f5db48c77cbe02b94e6
gpt-4o-search-preview,gpt-4o-search-preview,False,False,False,False,False,True,,,,omit,False,True,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"image_input,streaming,structured_outputs",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-search-preview,90004738fd608cb0f3555d94e93a7b2c678cb3c1279e76023281e90cf010ca7c
gpt-4o-search-preview-2025-03-11,gpt-4o-search-preview,False,False,False,False,False,True,,,,omit,False,True,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"image_input,streaming,structured_outputs",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-search-preview,90004738fd608cb0f3555d94e93a7b2c678cb3c1279e76023281e90cf010ca7c
gpt-4o-transcribe,gpt-4o-transcribe,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16000,,2000,"auto,default","auto,default",,False,,"v1/realtime,v1/audio/transcriptions",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-transcribe,d6134b0c0858ae79ddff296ea29966b259a9906e7024e0370694febf3ac83a16
gpt-4o-transcribe-diarize,gpt-4o-transcribe-diarize,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16000,,2000,"auto,default","auto,default",,False,,v1/audio/transcriptions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-4o-transcribe-diarize,a14a3170b5950927702185d87a305fcc6da83749128695f327618157dfcc3fb0
